DATA,ATIVO,COTAS,VLR COTA
2019-01-22 00:00:00,HGRU11,10.0,106.1
2019-01-24 00:00:00,XPLG11,10.0,101.75
2019-01-24 00:00:00,ALASKA,,
2019-01-28 00:00:00,HGRU11,10.0,106.5
2019-01-29 00:00:00,XPML11,10.0,106.99
2019-01-29 00:00:00,RBRR11,10.0,105.05
2019-01-30 00:00:00,FIGS11,10.0,59.65
2019-01-31 00:00:00,TIET11,100.0,11.78
2019-01-31 00:00:00,SPTW11,10.0,79.7
2019-01-31 00:00:00,EDGA11,,
2019-02-04 00:00:00,MXRF11,50.0,10.95
2019-02-05 00:00:00,XPML11,10.0,105.72
2019-02-07 00:00:00,MXRF11,50.0,10.69
2019-02-07 00:00:00,BPFF11,5.0,96.51
2019-02-07 00:00:00,SPTW11,,
2019-02-07 00:00:00,BPFF11,,
2019-02-08 00:00:00,MXRF11,50.0,10.57
2019-02-08 00:00:00,NTN-F,,
2019-02-08 00:00:00,GGRC11,,
2019-02-08 00:00:00,,,
2019-02-11 00:00:00,,,
2019-02-12 00:00:00,ABCB4,,
2019-02-12 00:00:00,ABCB4,26.0,13.23
2019-02-12 00:00:00,,,
2019-02-12 00:00:00,HTMX11,5.0,149.3
2019-02-13 00:00:00,HTMX11,2.0,149.45
2019-02-14 00:00:00,VISC11,,
2019-02-14 00:00:00,FIGS11,,
2019-02-14 00:00:00,HGRU11,,
2019-02-14 00:00:00,MXRF11,,
2019-02-14 00:00:00,BCFF11,,
2019-02-14 00:00:00,RBGS11,,
2019-02-14 00:00:00,XPLG11,,
2019-02-14 00:00:00,SDIL11,,
2019-02-14 00:00:00,HGTX3,,
2019-02-14 00:00:00,HTMX11,3.0,149.85
2019-02-14 00:00:00,BPFF11,5.0,94.4
2019-02-14 00:00:00,XPLG11,5.0,100.49
2019-02-15 00:00:00,NTN-B,,
2019-02-18 00:00:00,RBRR11,,
2019-02-19 00:00:00,XPLG11,5.0,100.87
2019-02-20 00:00:00,,,
2019-02-20 00:00:00,GGRC11,10.0,116.7
2019-02-21 00:00:00,XPML11,,
2019-02-21 00:00:00,BMEB4,100.0,7.55
2019-02-21 00:00:00,HGRU11,10.0,107.42
